,sub-101,sub-102,sub-104,sub-105,sub-106,sub-107,group_mean,group_sem
L40,-1.4649099371406e-13,-4.748601262314891e-13,2.885595846170895e-13,-4.0606485932055423e-13,2.0374951069936449e-13,-5.141034159868322e-13,-1.7486838332274691e-13,1.3096326150419911e-13
L42,-4.074515006734167e-13,-2.6948045696474053e-13,3.7123359153463713e-13,6.074656611257961e-14,1.5606768424541218e-13,-1.9567108377908504e-13,-4.7425866587435565e-14,1.0920037457057152e-13
L44,3.826362528918156e-13,3.1667323310415013e-13,3.431069949207388e-13,1.020822797091385e-12,1.1272890661035423e-13,5.048280359201778e-13,4.467993700897702e-13,1.1502114795617674e-13
L46,-1.467896528772791e-13,-4.858663779266018e-13,4.556350649693314e-13,1.9895506012300628e-13,2.7594352033053747e-13,-4.08173715111163e-13,-1.8382683415361475e-14,1.439061072744874e-13
L47,-7.55290577958251e-14,-1.5786870800049588e-13,3.739491295896858e-13,5.803692640300707e-13,8.079160197956111e-14,8.227080234010783e-14,1.473305053571841e-13,1.0413022065133556e-13
R01,-4.410513492488832e-14,5.553660973218841e-14,-2.632843858979219e-13,-2.4672935169916426e-14,-7.334928417274581e-14,-1.0371934664283716e-13,-7.559907951268687e-14,3.972247298182684e-14
R03,-1.2127820514455927e-14,4.245082566140553e-15,-8.255613798486738e-14,-1.3187857949677158e-14,6.142760043602166e-14,-3.50158278118712e-14,-1.286916020978491e-14,1.7607058920871142e-14
R05,2.8919857236943447e-14,-1.5222139963112123e-14,2.4789848896805214e-14,3.013504450948551e-14,5.889494520844603e-14,2.7807632771670112e-15,2.1716386527622512e-14,9.483125006768231e-15
R07,2.2222771858692108e-14,-6.139928666273959e-15,4.531461305441792e-14,-1.1573349507330324e-14,9.688918810328736e-14,-6.325628318304629e-15,2.3397944420748078e-14,1.5689391687129362e-14
R11,-1.011433143982952e-13,6.951300888001464e-15,1.1615190994354668e-13,-8.856507822374101e-14,1.024489046957133e-13,2.293546200388316e-13,4.4199723824009477e-14,4.801358493686246e-14
R13,4.948179955298308e-14,-2.1383338572577887e-14,2.944330757228442e-14,1.676081949539153e-14,6.580119022005362e-14,1.1784664442994689e-13,4.299173711634694e-14,1.7623706069565507e-14
R15,-6.024683625016768e-14,4.235100722289614e-14,-1.3999618045940714e-13,-1.0675754450960802e-14,-9.241769709664968e-14,-1.1390296856360027e-13,-6.248140493298157e-14,2.5400980174177088e-14
R17,-1.1053667926471875e-16,-3.0309198803357434e-14,3.5252128408271866e-14,8.963223214006493e-15,-9.54240129081681e-16,2.4834044592586986e-14,6.279236767193586e-15,8.535512639906278e-15
R18,-1.0273927975007993e-14,1.6212536825164523e-14,1.30280670705424e-14,6.569006806311318e-15,1.0864393625939595e-13,2.1796068064846992e-14,2.599594784187553e-14,1.5639266795293166e-14
R20,2.9095621260353334e-14,3.344598497529483e-14,8.156232890867552e-14,-1.7172990303564126e-14,9.492885706546776e-14,9.930728411274135e-14,5.3527847669828115e-14,1.7154976525361747e-14
R22,-5.2055121186001716e-14,1.1842233614063476e-13,1.3210216598702506e-13,-2.23070988161515e-14,6.496084099616265e-14,1.7765567233936048e-13,6.979646591017163e-14,3.384373531013627e-14
R24,-4.3165957223199544e-14,5.4878950907897045e-14,1.007921314628272e-13,-6.340825981389535e-14,6.710699133871251e-14,1.9693438619604199e-13,5.2189707144730637e-14,3.5745461194015066e-14
R26,-2.5952177403156487e-13,-5.91749234618869e-14,-2.215352589351761e-13,-7.18948203275048e-14,-2.167008855312637e-13,-2.5704962332928437e-13,-1.8097954760278012e-13,3.399843200850494e-14
R28,7.436399892266667e-14,2.1140405956316958e-14,-5.1204042868152095e-14,6.784881832608099e-14,-1.0359334596279829e-13,4.854422513087314e-14,9.516676584164563e-15,2.67430975394362e-14
R30,5.713749971310905e-14,1.0688170158828262e-13,1.68210973056555e-14,8.712408823930325e-14,-7.146826358023533e-14,2.1605039377332383e-13,6.875775283990648e-14,3.573889181316371e-14
R31,3.3660168953206797e-14,1.2018331716391954e-13,5.2778361550649513e-14,6.027645883047774e-14,2.5787966551466377e-14,1.5268132002122092e-13,7.422793217849015e-14,1.8939767718942513e-14
R33,7.3759200857574e-14,2.5149832036083037e-13,1.6875603416330536e-13,2.856998589748683e-14,-3.9227647718062294e-16,2.9083030781765e-13,1.3550359543661098e-13,4.4845953485492746e-14
R37,7.859803809743853e-16,3.7627393431722604e-14,-8.989533696377414e-14,9.330339938670185e-14,-2.1170757212221182e-13,7.308086910534309e-14,-1.613421113020734e-14,4.307685875169295e-14
R38,5.156971276868364e-15,1.1870766647058911e-13,1.561969939734825e-14,1.266853890001867e-13,-7.85887703085542e-14,1.9662178956077958e-13,6.40337908995363e-14,3.750764067120791e-14
R40,1.1840751182977057e-13,3.3822833018941265e-13,-5.5300018530199566e-14,1.3791917033752389e-13,-7.418295708106454e-14,2.6090066260822627e-13,1.2099544989227822e-13,6.151589796759875e-14
R42,3.6623235403775555e-14,2.9603328647187105e-14,3.39259474862132e-14,3.419067091376757e-14,-1.4324836953999208e-13,-6.885462982939894e-14,-1.295996948640793e-14,2.8279792991483887e-14
R44,-7.593096692121432e-14,-2.2377708206873206e-13,-1.1791706224213082e-13,1.2561450381344917e-13,-3.805259432996054e-13,-3.3462721294396937e-13,-1.6786062727703379e-13,6.936965301928336e-14
